scenario,workers,structured,sink,logs_per_sec,per_log_us,notes
unified,1,false,devnull,7150359,0.14,baseline
async,1,false,devnull,2778386,batches=199,0.36
unified,cpu,false,devnull,5975761,0.17,baseline
async,cpu,false,devnull,5676476,batches=19,0.18
unified,2cpu,false,devnull,9072661,0.11,baseline
async,2cpu,false,devnull,6578479,batches=15,0.15
unified,1,true,devnull,698091,1.43,baseline
async,1,true,devnull,141086,batches=0,7.09
unified,cpu,true,devnull,1277921,0.78,baseline
async,cpu,true,devnull,140197,batches=0,7.13
unified,2cpu,true,devnull,1271585,0.79,baseline
async,2cpu,true,devnull,136596,batches=0,7.32
async,cpu,false,buffer(bs=500),275637,batches=130,3.63
async,cpu,false,buffer(bs=1000),275068,batches=148,3.64
async,cpu,false,buffer(bs=2000),198429,batches=147,5.04
async,cpu,false,file,194042,batches=87,5.15
async,cpu,false,netmock(1ms),8632,batches=24,115.85
async,cpu,false,netmock_batch(1ms,bs=1000),6149951,batches=11,0.16
